gaming clip,student,batch,is gaming?,AvgTimrPerAction,Number of Context Changes,Number of Correct Actions,Minimum time between actions,Number of actions faster than average for clip,Number of duplicated inputs,Has 3 or more duplicated inputs,Number of help requests,Has 3 or more help requests,Number WrongActions,Number of consecutive help requests,Sum of frequency of wrong + frequency of consecutive help,Number of BUG,Number of actions slower than the global average action time (~13 seconds),Number of consecutive wrong in the same context,Help Request Rate,Count of short action (3 seconds or less),Number of Unique Input,Number of Blank Actions,Number of Hint_without_attempt,Avg_Time_Per_Incorrect_Actions
122540,N0jSb6S70X1,9,G,17.6,5,4,1,4,0,0,0,0,0,0,0,1,1,0,0,1,5,5,0,22
122561,N0jSb6S70X1,9,G,7.6,3,3,-1,3,0,0,0,0,2,0,0,0,1,0,0,1,5,2,0,6
122649,N0jSb6S70X1,9,G,153.8,2,1,0,3,1,0,1,0,3,0,0,0,3,2,0.2,1,4,5,0,29.67
122671,N0jSb6S70X1,9,N,63,0,0,0,4,2,0,2,0,3,0,0,0,2,3,0.4,1,3,5,0,253.67
122783,N0jSb6S70X1,9,G,15,3,3,2,4,0,0,1,0,0,0,0,1,1,0,0.2,2,5,5,1,0
122959,N0jSb6S70X1,9,G,23.4,0,0,0,4,1,0,2,0,2,0,0,1,1,2,0.4,2,4,5,1,15.33
123019,N0jSb6S70X1,9,G,7,4,4,2,3,0,0,0,0,0,0,0,1,1,0,0,3,5,5,0,19.33
123748,N0jSb6S70X1,9,G,9,4,5,1,2,0,0,0,0,0,0,0,0,2,0,0,2,5,5,0,7.5
123760,N0jSb6S70X1,9,G,9.4,2,1,3,3,2,0,0,0,0,0,0,4,1,0,0,1,3,5,0,0
123775,N0jSb6S70X1,9,G,8.4,5,4,5,2,0,0,0,0,0,0,0,1,1,0,0,0,5,3,0,11
123811,N0jSb6S70X1,9,G,8,3,5,0,3,1,0,0,0,0,0,0,0,2,0,0,2,5,5,0,5.5
123970,N0jSb6S70X1,9,G,3.8,0,0,0,3,2,0,1,0,4,0,0,0,0,3,0.2,3,4,5,0,0
124043,N0jSb6S70X1,9,G,31.8,4,4,2,3,0,0,0,0,1,0,0,0,2,0,0,1,5,5,0,30.33
124078,N0jSb6S70X1,9,G,4.4,1,1,2,3,0,0,1,0,1,0,0,2,0,1,0.2,2,5,5,1,0
124153,N0jSb6S70X1,9,G,9.4,2,3,6,3,0,0,0,0,1,0,0,1,0,0,0,0,5,5,0,1.67
124327,N0jSb6S70X1,9,G,10.2,1,0,0,3,3,1,1,0,4,0,0,0,1,3,0.2,3,4,5,0,7
128824,N1to8tgu4IT,6,N,10.6,3,2,4,3,0,0,2,0,1,1,1,0,2,1,0.4,0,5,5,2,0
128981,N1to8tgu4IT,6,N,14.4,5,4,-1,3,0,0,0,0,0,0,0,1,2,0,0,1,5,5,0,0
129162,N1to8tgu4IT,6,N,6,5,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0
129205,N1to8tgu4IT,6,N,8.6,2,3,0,3,2,0,0,0,0,0,0,2,1,0,0,1,3,2,0,41
129890,N1to8tgu4IT,6,G,16.8,4,2,4,3,0,0,0,0,1,0,0,2,3,1,0,0,5,3,0,37.33
130093,N1to8tgu4IT,6,N,19.6,4,4,2,4,0,0,0,0,0,0,0,1,1,0,0,1,5,5,0,12
130224,N1to8tgu4IT,6,G,5.8,4,3,2,3,2,0,0,0,0,0,0,2,0,0,0,3,3,5,0,44
130258,N1to8tgu4IT,6,N,4.2,3,4,0,4,0,0,0,0,1,0,0,0,0,0,0,4,5,5,0,0
130866,N1to8tgu4IT,6,G,73.4,2,1,0,4,1,0,1,0,3,0,0,0,2,2,0.2,1,4,5,0,0
130914,N1to8tgu4IT,6,N,9.8,3,1,-1,2,0,0,0,0,1,0,0,3,1,1,0,0,4,3,0,30
131091,N1to8tgu4IT,6,N,12.4,4,3,1,3,0,0,0,0,2,0,0,0,2,0,0,1,5,4,0,67
131129,N1to8tgu4IT,6,N,10.8,3,3,4,3,0,0,0,0,0,0,0,2,1,0,0,0,5,5,0,0
131217,N1to8tgu4IT,6,N,85.6,1,0,14,4,0,0,0,0,2,0,0,3,5,2,0,0,5,5,0,8
131279,N1to8tgu4IT,6,N,18.6,5,4,2,3,0,0,0,0,1,0,0,0,2,0,0,1,5,5,0,71.67
131504,N1to8tgu4IT,6,N,14.2,5,5,1,4,0,0,0,0,0,0,0,0,1,0,0,1,5,5,0,0
131893,N5LMy832c47,10,N,26.4,3,3,8,2,0,0,0,0,0,0,0,2,4,0,0,0,5,5,0,0
132008,N5LMy832c47,10,G,8.2,2,3,6,3,0,0,0,0,0,0,0,2,0,0,0,0,5,5,0,0
132127,N5LMy832c47,10,N,16,4,5,0,3,1,0,0,0,0,0,0,0,2,0,0,1,5,5,0,0
132251,N5LMy832c47,10,N,21.6,3,4,3,4,0,0,0,0,1,0,0,0,1,0,0,1,5,5,0,0
132400,N5LMy832c47,10,N,16.4,0,0,0,2,2,0,1,0,4,0,0,0,4,3,0.2,1,3,5,0,0
132458,N5LMy832c47,10,N,12,4,5,2,4,0,0,0,0,0,0,0,0,1,0,0,2,5,5,0,26
132535,N5LMy832c47,10,N,6,4,4,3,3,1,0,0,0,1,0,0,0,0,0,0,1,4,2,0,10
132549,N5LMy832c47,10,N,14.4,5,5,2,3,1,0,0,0,0,0,0,0,2,0,0,1,4,3,0,10
132623,N5LMy832c47,10,N,17.4,5,5,7,3,1,0,0,0,0,0,0,0,4,0,0,0,4,3,0,0
132676,N5LMy832c47,10,N,10.2,4,4,6,3,0,0,0,0,1,0,0,0,1,0,0,0,5,0,0,0
132854,N5LMy832c47,10,N,8.6,5,5,3,3,0,0,0,0,0,0,0,0,1,0,0,3,5,5,0,39
132866,N5LMy832c47,10,N,8.8,4,5,0,3,0,0,0,0,0,0,0,0,1,0,0,3,5,4,0,0
132921,N5LMy832c47,10,N,14.6,3,3,6,2,0,0,0,0,1,0,0,1,3,0,0,0,5,5,0,7
133056,N5LMy832c47,10,N,9,3,4,1,2,0,0,0,0,0,0,0,1,1,0,0,1,5,3,0,13
133625,N5LMy832c47,10,N,8.8,3,4,0,3,0,0,0,0,1,0,0,0,2,0,0,1,5,5,0,0
133948,N5LMy832c47,10,N,52.4,4,4,3,4,0,0,0,0,0,0,0,1,2,0,0,2,5,5,0,0
134273,N5LMy832c47,10,N,7.8,1,1,0,3,2,0,1,0,3,0,0,0,1,2,0.2,1,3,4,0,0
134732,N5LMy832c47,10,G,5.2,4,2,2,4,3,1,0,0,1,0,0,2,0,0,0,2,2,5,0,21.33
134948,N5LMy832c47,10,G,23,4,4,3,4,0,0,0,0,0,0,0,1,1,0,0,1,5,5,0,6
135064,N5LMy832c47,10,N,7.2,4,5,1,2,0,0,0,0,0,0,0,0,0,0,0,1,5,5,0,6
135998,N5LMy832c47,10,N,13.6,5,5,4,3,0,0,0,0,0,0,0,0,2,0,0,0,5,5,0,7
136010,N5LMy832c47,10,N,39.2,5,5,3,4,0,0,0,0,0,0,0,0,1,0,0,1,5,3,0,0
136035,N5LMy832c47,10,N,22,5,5,3,4,0,0,0,0,0,0,0,0,1,0,0,1,5,2,0,0
136140,N5LMy832c47,10,N,7.6,2,2,0,3,2,0,1,0,1,0,0,1,1,0,0.2,2,3,5,0,109.4
136225,N5LMy832c47,10,N,6,3,2,3,3,0,0,0,0,3,0,0,0,0,2,0,1,5,5,0,0
136239,N5LMy832c47,10,N,23.8,5,4,-1,4,0,0,0,0,1,0,0,0,2,0,0,0,5,2,0,5.33
136886,N5LMy832c47,10,N,7.4,5,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0
137088,N5LMy832c47,10,G,21.6,5,3,2,4,2,0,0,0,0,0,0,2,1,0,0,2,3,5,0,6
137571,N5LMy832c47,10,N,19.4,4,4,1,3,0,0,1,0,0,0,0,0,2,0,0.2,2,5,5,1,0
137615,N5LMy832c47,10,G,23.6,4,4,2,4,0,0,1,0,0,0,0,0,1,0,0.2,2,5,5,1,9.5
137628,N5LMy832c47,10,N,10.4,5,5,5,4,0,0,0,0,0,0,0,0,1,0,0,0,5,3,0,0
137709,N5LMy832c47,10,N,10.8,2,2,0,3,1,0,1,0,1,0,0,1,1,0,0.2,1,4,5,0,0
137907,N5LMy832c47,10,N,10.2,5,5,2,4,1,0,0,0,0,0,0,0,1,0,0,1,4,4,0,51
138780,N5LMy832c47,10,G,9.8,5,5,5,4,0,0,0,0,0,0,0,0,1,0,0,0,5,3,0,6.33
139245,N5LMy832c47,10,N,18.6,4,4,-1,4,0,0,0,0,0,0,0,1,1,0,0,0,5,5,0,2
139884,N668lBbaKFE,3,N,46.8,2,3,10,4,0,0,0,0,0,0,0,2,4,0,0,0,5,5,0,0
139992,N668lBbaKFE,3,G,13.8,2,2,5,4,0,0,0,0,2,0,0,1,1,0,0,0,5,5,0,10.33
140056,N668lBbaKFE,3,N,10,1,0,2,3,1,0,0,0,1,0,0,4,2,0,0,2,4,5,0,16.25
140177,N668lBbaKFE,3,G,7,1,1,3,3,0,0,0,0,1,0,0,3,0,0,0,1,5,5,0,5
140199,N668lBbaKFE,3,G,7,1,1,0,2,1,0,1,0,3,0,0,0,1,2,0.2,1,4,5,0,7.5
140261,N668lBbaKFE,3,N,22.2,4,2,6,3,0,0,0,0,2,0,0,1,3,0,0,0,5,5,0,23.75
140335,N668lBbaKFE,3,G,18.6,1,0,0,3,1,0,1,0,4,0,0,0,2,2,0.2,1,4,5,0,0
140369,N668lBbaKFE,3,G,11.6,5,4,3,3,0,0,0,0,0,0,0,1,1,0,0,2,5,5,0,8.5
140763,N668lBbaKFE,3,N,21.8,4,3,3,3,0,0,0,0,1,0,0,1,3,0,0,1,5,5,0,0
140983,N668lBbaKFE,3,N,17.8,4,5,5,2,0,0,0,0,0,0,0,0,4,0,0,0,5,5,0,12
140996,N668lBbaKFE,3,G,3.4,3,3,0,3,1,0,1,0,1,0,0,0,0,0,0.2,3,3,5,0,0
141069,N668lBbaKFE,3,G,5.4,2,2,0,2,1,0,1,0,2,0,0,0,0,1,0.2,2,3,5,0,4
141170,N668lBbaKFE,3,G,22.4,3,1,0,4,2,0,0,0,4,0,0,0,2,1,0,1,4,5,0,28
141299,N668lBbaKFE,3,G,13,3,2,3,3,2,0,0,0,1,0,0,2,2,1,0,1,3,5,0,0
141458,N668lBbaKFE,3,G,5.2,1,5,2,3,0,0,0,0,0,0,0,0,0,0,0,2,5,5,0,9
141472,N668lBbaKFE,3,G,0.8,0,0,0,4,3,1,2,0,3,0,0,0,0,3,0.4,4,4,5,1,0
141704,N668lBbaKFE,3,N,12.4,5,5,6,3,1,0,0,0,0,0,0,0,2,0,0,0,4,2,0,13.5
141741,N668lBbaKFE,3,N,8.4,4,4,5,2,1,0,0,0,1,0,0,0,0,0,0,0,4,3,0,6
141879,N668lBbaKFE,3,N,11.4,0,1,2,4,0,0,2,0,2,0,0,0,1,1,0.4,1,3,2,0,3
141923,N668lBbaKFE,3,G,4,4,4,1,3,0,0,0,0,0,0,0,1,0,0,0,3,5,5,0,10
141957,N668lBbaKFE,3,N,4.8,5,5,3,1,0,0,0,0,0,0,0,0,0,0,0,1,4,4,0,6.33
142193,N668lBbaKFE,3,G,8.2,1,2,2,3,1,0,1,0,2,0,0,0,1,1,0.2,2,4,3,1,11.33
142369,N668lBbaKFE,3,N,32.8,3,1,8,3,0,0,0,0,1,0,0,3,4,0,0,0,5,5,0,0
143315,N668lBbaKFE,3,G,15.8,4,3,7,4,0,0,0,0,2,0,0,0,2,0,0,0,5,5,0,0
143436,N668lBbaKFE,3,N,13.6,1,0,1,3,3,1,0,0,0,0,0,5,2,0,0,2,2,5,0,0
143562,N668lBbaKFE,3,N,21.2,5,3,3,3,0,0,1,0,0,0,0,1,2,0,0.2,1,5,5,1,51
143856,N668lBbaKFE,3,G,18,4,4,5,3,0,0,0,0,1,0,0,0,2,0,0,0,3,5,0,19.33
143951,N668lBbaKFE,3,N,9,4,5,1,4,0,0,0,0,0,0,0,0,1,0,0,1,5,5,0,7
144007,N668lBbaKFE,3,G,14,5,5,2,3,0,0,0,0,0,0,0,0,2,0,0,2,5,5,0,0
144226,N668lBbaKFE,3,N,4.2,0,0,3,4,0,0,0,0,5,0,0,0,0,4,0,3,5,5,0,4.67
144410,N668lBbaKFE,3,N,6.2,3,3,4,3,0,0,0,0,2,0,0,0,0,0,0,0,4,5,0,7.67
144426,N668lBbaKFE,3,N,10,4,3,-1,3,1,0,0,0,1,0,0,1,2,0,0,1,4,5,0,6
144664,N668lBbaKFE,3,N,7.2,5,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,11
144885,N668lBbaKFE,3,G,15.6,5,4,2,3,0,0,0,0,1,0,0,0,3,0,0,2,5,5,0,0
145949,N668lBbaKFE,3,N,7.2,0,0,0,3,2,0,1,0,4,0,0,0,1,3,0.2,3,3,5,0,4.5
145963,N668lBbaKFE,3,G,11,5,5,3,3,0,0,0,0,0,0,0,0,2,0,0,1,5,5,0,9
146216,N668lBbaKFE,3,G,2.2,0,0,0,2,1,0,2,0,3,0,0,0,0,3,0.4,3,4,5,1,9
146390,N668lBbaKFE,3,G,14.2,5,5,2,3,0,0,0,0,0,0,0,0,2,0,0,1,5,5,0,9
146407,N668lBbaKFE,3,G,4,3,2,2,2,0,0,0,0,3,0,0,0,0,1,0,2,5,5,0,0
146519,N668lBbaKFE,3,N,10.6,4,5,2,3,0,0,0,0,0,0,0,0,2,0,0,3,5,5,0,6.25
146571,N668lBbaKFE,3,G,13.6,5,5,3,3,0,0,0,0,0,0,0,0,2,0,0,1,5,5,0,1.5
148204,N668lBbaKFE,3,G,10.6,2,3,1,3,1,0,1,0,1,0,0,0,1,0,0.2,1,4,5,0,6
148307,N668lBbaKFE,3,N,12.4,5,4,2,3,0,0,0,0,1,0,0,0,2,0,0,2,4,5,0,0
148435,N668lBbaKFE,3,N,11.4,5,5,3,3,0,0,0,0,0,0,0,0,2,0,0,1,5,3,0,30.33
148543,N668lBbaKFE,3,G,3.8,4,4,-1,2,0,0,0,0,1,0,0,0,0,0,0,1,4,2,0,11.5
148608,N668lBbaKFE,3,N,17.8,3,1,2,4,1,0,1,0,3,0,0,0,2,1,0.2,1,3,5,1,0
149392,N668lBbaKFE,3,G,5.2,5,2,1,3,2,0,0,0,3,0,0,0,0,0,0,2,3,4,0,24.33
149486,N668lBbaKFE,3,G,13.8,3,3,2,4,0,0,0,0,1,0,0,1,1,0,0,2,4,5,0,14
149573,N668lBbaKFE,3,G,6,4,5,0,2,0,0,0,0,0,0,0,0,0,0,0,1,5,4,0,35
149589,N668lBbaKFE,3,G,5.4,2,1,0,4,1,0,1,0,3,0,0,0,1,1,0.2,4,4,5,0,0
149686,N668lBbaKFE,3,N,7,5,4,2,4,1,0,0,0,0,0,0,1,1,0,0,1,4,5,0,7
149785,N668lBbaKFE,3,N,14.2,1,3,0,3,1,0,1,0,1,0,0,0,2,0,0.2,2,4,5,0,7.33
151627,N6Ax4SKe470,2,N,4.6,5,5,3,3,0,0,0,0,0,0,0,0,0,0,0,1,5,2,0,13.5
151643,N6Ax4SKe470,2,N,6.4,5,2,4,2,2,0,0,0,1,0,0,2,0,0,0,0,3,5,0,0
151691,N6Ax4SKe470,2,N,9.4,4,4,2,3,0,0,1,0,0,0,0,0,2,0,0.2,2,5,5,1,3
151890,N6Ax4SKe470,2,G,7,3,4,3,2,0,0,1,0,0,0,0,0,0,0,0.2,1,5,5,1,0
153140,N6Ax4SKe470,2,N,11.8,3,3,5,4,3,1,0,0,0,0,0,2,1,0,0,0,2,5,0,0
153423,N6Ax4SKe470,2,G,5.8,4,4,2,3,0,0,1,0,0,0,0,0,0,0,0.2,1,5,4,1,27.5
153491,N6Ax4SKe470,2,N,8.8,4,3,3,3,1,0,0,0,2,0,0,0,1,1,0,2,4,5,0,0
153503,N6Ax4SKe470,2,G,12.8,5,3,4,3,1,0,0,0,0,0,0,2,1,0,0,0,4,4,0,17
153625,N6Ax4SKe470,2,N,6.2,4,5,0,3,0,0,0,0,0,0,0,0,0,0,0,2,4,5,0,27
153696,N6Ax4SKe470,2,N,17.6,3,2,1,4,1,0,2,0,1,0,0,0,1,0,0.4,1,4,5,1,13
154708,N6Ax4SKe470,2,N,6.8,4,3,3,2,1,0,0,0,1,0,0,1,0,0,0,1,4,5,0,4.5
154909,N6Ax4SKe470,2,G,3.8,5,3,3,3,1,0,0,0,1,0,0,1,0,0,0,3,3,5,0,0
155134,N6Ax4SKe470,2,N,3.4,5,5,2,3,0,0,0,0,0,0,0,0,0,0,0,3,5,3,0,7
155159,N6Ax4SKe470,2,N,6.8,2,2,3,3,1,0,1,0,1,0,0,1,1,0,0.2,1,4,5,1,19.5
155189,N6Ax4SKe470,2,G,7.4,3,1,3,4,1,0,0,0,2,0,0,2,1,0,0,1,3,5,0,19
155212,N6Ax4SKe470,2,N,6.2,4,2,5,3,2,0,0,0,2,0,0,1,0,0,0,0,3,5,0,0
155263,N6Ax4SKe470,2,N,5.2,5,5,3,4,0,0,0,0,0,0,0,0,0,0,0,1,5,3,0,10
155293,N6Ax4SKe470,2,N,10,5,4,1,3,0,0,0,0,1,0,0,0,2,0,0,2,5,5,0,3
156224,N6Ax4SKe470,2,G,6.8,3,5,0,3,1,0,0,0,0,0,0,0,1,0,0,1,5,5,0,0
156358,N6Ax4SKe470,2,N,15.2,5,4,4,2,2,0,0,0,0,0,0,1,3,0,0,0,3,5,0,0
156451,N6Ax4SKe470,2,N,4,1,5,0,4,2,0,0,0,0,0,0,0,1,0,0,4,5,5,0,9.67
156490,N6Ax4SKe470,2,G,4.2,2,5,0,4,2,0,0,0,0,0,0,0,1,0,0,4,5,5,0,12
156537,N6Ax4SKe470,2,G,6,5,1,3,3,3,1,0,0,2,0,0,2,0,0,0,1,2,5,0,38
156606,N6Ax4SKe470,2,N,18,5,5,6,3,0,0,0,0,0,0,0,0,2,0,0,0,5,3,0,7.67
156646,N6Ax4SKe470,2,G,11.8,3,3,2,3,0,0,0,0,0,0,0,2,2,0,0,1,5,5,0,0
156709,N6Ax4SKe470,2,N,4.6,4,5,0,4,0,0,0,0,0,0,0,0,0,0,0,2,5,3,0,35
156774,N6Ax4SKe470,2,N,1.4,1,5,0,3,2,0,0,0,0,0,0,0,0,0,0,5,5,5,0,5
160857,N6Ax4SKe470,2,N,6,4,4,5,3,0,0,0,0,0,0,0,1,0,0,0,0,5,3,0,0
160912,N6Ax4SKe470,2,N,4.6,3,0,0,1,1,0,1,0,3,0,0,1,0,2,0.2,1,4,5,0,6
160968,N6Ax4SKe470,2,N,7.4,4,3,6,4,1,0,0,0,1,0,0,1,0,0,0,0,3,1,0,7.67
161001,N6Ax4SKe470,2,G,7.6,5,5,2,4,0,0,0,0,0,0,0,0,1,0,0,1,5,3,0,9
161012,N6Ax4SKe470,2,G,9.6,3,2,1,3,1,0,2,0,1,0,0,0,1,0,0.4,2,4,5,1,0
161067,N6Ax4SKe470,2,N,22.6,5,5,4,4,0,0,0,0,0,0,0,0,1,0,0,0,5,4,0,3.5
161079,N6Ax4SKe470,2,N,4,2,0,1,3,0,0,0,0,1,0,0,4,0,1,0,3,4,5,0,0
161189,N6Ax4SKe470,2,G,13.2,3,3,6,4,0,0,1,0,0,0,0,1,1,0,0.2,0,5,5,1,4
161233,N6Ax4SKe470,2,N,13.6,2,2,0,4,1,0,1,0,1,0,0,1,1,0,0.2,1,4,5,0,35.33
161255,N6Ax4SKe470,2,G,21,1,1,3,4,0,0,1,0,2,0,0,1,1,2,0.2,1,5,5,1,0
161288,N6Ax4SKe470,2,G,11.8,2,1,6,3,1,0,0,0,3,0,0,1,2,1,0,0,4,5,0,24
161365,N6Ax4SKe470,2,N,6.6,0,1,2,3,2,0,2,0,1,0,0,1,1,1,0.4,2,3,5,1,0
161399,N6Ax4SKe470,2,G,2.4,2,0,0,3,3,1,2,0,3,0,0,0,0,2,0.4,4,2,5,1,6.5
163438,N6O31vedZbI,10,N,34.4,3,3,24,3,0,0,0,0,0,0,0,2,5,0,0,0,5,5,0,0
163606,N6O31vedZbI,10,N,5.8,2,0,3,4,3,1,0,0,2,0,0,3,1,0,0,3,2,5,0,0
164158,N6O31vedZbI,10,N,17,2,1,7,3,0,0,1,0,2,0,0,1,3,1,0.2,0,4,1,0,-1
164237,N6O31vedZbI,10,G,47.2,5,5,-1,4,0,0,0,0,0,0,0,0,2,0,0,0,5,5,0,0
164287,N6O31vedZbI,10,N,11,5,5,2,3,0,0,0,0,0,0,0,0,2,0,0,1,5,5,0,0
164323,N6O31vedZbI,10,N,12,5,5,5,3,0,0,0,0,0,0,0,0,2,0,0,0,5,5,0,0
164451,N6O31vedZbI,10,N,15.6,4,5,0,3,0,0,0,0,0,0,0,0,2,0,0,1,5,3,0,0
164809,N6O31vedZbI,10,G,9.4,5,4,4,3,0,0,0,0,0,0,0,1,1,0,0,0,5,5,0,0
164908,N6O31vedZbI,10,G,9.4,4,4,3,3,0,0,0,0,1,0,0,0,2,0,0,1,5,5,0,5
166298,N6O31vedZbI,10,N,11,5,5,3,2,0,0,0,0,0,0,0,0,2,0,0,1,5,5,0,9.5
166373,N6O31vedZbI,10,N,10.2,5,5,4,4,0,0,0,0,0,0,0,0,1,0,0,0,5,5,0,112
166392,N6O31vedZbI,10,G,8,4,4,1,3,0,0,0,0,1,0,0,0,1,0,0,3,5,5,0,0
167319,N6O31vedZbI,10,N,5.4,5,5,4,3,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0
167439,N6O31vedZbI,10,N,20.4,5,5,4,4,0,0,0,0,0,0,0,0,2,0,0,0,5,3,0,15
167472,N6O31vedZbI,10,N,30.8,5,5,5,2,0,0,0,0,0,0,0,0,3,0,0,0,5,5,0,0
167875,N6O31vedZbI,10,N,9.8,4,2,3,3,2,0,2,0,0,1,1,1,2,0,0.4,1,3,5,2,0
167922,N6O31vedZbI,10,G,5.2,3,3,2,3,1,0,2,0,0,0,0,0,0,0,0.4,3,4,5,2,4
168101,N6O31vedZbI,10,N,23.8,5,5,6,3,0,0,0,0,0,0,0,0,2,0,0,0,5,5,0,5
168140,N6O31vedZbI,10,G,81,3,2,-1,4,1,0,0,0,3,0,0,0,2,2,0,2,4,5,0,180
168158,N6O31vedZbI,10,G,10,5,0,3,4,0,0,4,1,1,3,3,0,1,0,0.8,1,3,5,4,134.33
168429,N6O31vedZbI,10,N,12.6,4,5,0,3,0,0,0,0,0,0,0,0,2,0,0,1,5,3,0,0
168468,N6O31vedZbI,10,N,12.4,4,5,0,2,0,0,0,0,0,0,0,0,3,0,0,1,5,4,0,0
168484,N6O31vedZbI,10,N,8.6,1,2,4,2,0,0,0,0,0,0,0,3,0,0,0,0,4,5,0,0
168973,N6O31vedZbI,10,N,7.6,4,2,-1,3,0,0,1,0,1,0,0,1,1,0,0.2,0,5,5,1,7
168994,N6O31vedZbI,10,G,9.4,4,3,3,3,0,0,0,0,1,0,0,1,1,0,0,1,5,4,0,10
169046,N6O31vedZbI,10,N,56.4,5,5,2,4,0,0,0,0,0,0,0,0,1,0,0,2,5,5,0,6
169322,N6O31vedZbI,10,N,33.2,5,5,5,3,0,0,0,0,0,0,0,0,3,0,0,0,5,4,0,7
169334,N7oiAa7MlW2,10,G,20.8,2,1,0,4,1,0,1,0,3,0,0,0,1,2,0.2,1,4,5,0,0
169387,N7oiAa7MlW2,10,G,13.6,4,3,4,2,1,0,0,0,0,0,0,2,3,0,0,0,4,5,0,0
169468,N7oiAa7MlW2,10,G,13.6,5,4,2,3,0,0,0,0,0,0,0,1,2,0,0,2,5,5,0,0
169619,N7oiAa7MlW2,10,N,13.8,5,5,5,3,0,0,0,0,0,0,0,0,2,0,0,0,5,2,0,17.5
169683,N7oiAa7MlW2,10,G,19.8,3,2,2,2,0,0,1,0,2,0,0,0,3,2,0.2,1,5,5,1,6
169862,N7oiAa7MlW2,10,N,11,4,3,6,4,0,0,0,0,1,0,0,1,1,1,0,0,5,4,0,4
170171,N7oiAa7MlW2,10,G,32.4,3,4,2,3,0,0,0,0,1,0,0,0,3,0,0,1,4,5,0,0
170221,N7oiAa7MlW2,10,G,12.6,5,4,1,2,0,0,0,0,0,0,0,1,3,0,0,2,4,5,0,15.33
170251,N7oiAa7MlW2,10,N,15,3,3,0,2,1,0,2,0,0,1,1,0,3,0,0.4,1,4,3,2,26
170413,N7oiAa7MlW2,10,N,15.2,5,5,2,4,0,0,0,0,0,0,0,0,1,0,0,2,4,5,0,9
170454,N7oiAa7MlW2,10,N,13.6,5,5,1,2,1,0,0,0,0,0,0,0,3,0,0,1,4,5,0,17
170554,N7oiAa7MlW2,10,G,62.4,3,2,3,3,3,1,0,0,0,0,0,3,2,0,0,1,2,5,0,57
170722,N7oiAa7MlW2,10,G,24.6,4,4,1,4,0,0,0,0,0,0,0,1,2,0,0,1,5,5,0,10
171112,N7oiAa7MlW2,10,G,39.4,5,4,7,4,1,0,0,0,0,0,0,1,3,0,0,0,4,5,0,16
171155,N7oiAa7MlW2,10,G,19,4,4,3,2,0,0,0,0,0,0,0,1,3,0,0,1,5,5,0,8
171199,N7oiAa7MlW2,10,N,8.8,0,1,0,1,1,0,1,0,3,0,0,0,1,2,0.2,1,4,5,0,12
171252,N7oiAa7MlW2,10,G,10,2,2,2,2,0,0,0,0,2,0,0,1,1,1,0,2,5,5,0,0
172686,N879eYkR2Wu,1,N,8,5,4,3,2,1,0,0,0,0,0,0,1,0,0,0,1,4,4,0,7
172707,N879eYkR2Wu,1,G,13.2,5,5,2,2,0,0,0,0,0,0,0,0,3,0,0,1,5,5,0,9
172811,N879eYkR2Wu,1,N,6.4,4,5,0,4,0,0,0,0,0,0,0,0,1,0,0,1,5,4,0,0
172855,N879eYkR2Wu,1,N,8.2,4,5,0,3,0,0,0,0,0,0,0,0,1,0,0,1,5,3,0,0
172867,N879eYkR2Wu,1,G,8.2,3,1,5,3,1,0,0,0,0,0,0,4,0,0,0,0,4,4,0,0
172910,N879eYkR2Wu,1,G,4.4,0,0,0,3,1,0,1,0,4,0,0,0,0,4,0.2,2,4,5,1,0
172924,N879eYkR2Wu,1,N,9,0,1,5,3,1,0,1,0,2,0,0,1,1,1,0.2,0,4,5,0,5.5
173072,N879eYkR2Wu,1,N,8.6,2,4,5,3,0,0,0,0,1,0,0,0,1,0,0,0,5,5,0,17
173107,N879eYkR2Wu,1,N,6.6,4,5,3,3,0,0,0,0,0,0,0,0,0,0,0,1,5,4,0,0
175766,N879eYkR2Wu,1,N,19.6,1,2,4,4,0,0,0,0,3,0,0,0,2,2,0,0,5,5,0,59.75
175845,N879eYkR2Wu,1,N,4.2,0,0,0,3,3,1,3,1,2,1,1,0,0,1,0.6,3,2,5,1,105.5
175856,N879eYkR2Wu,1,G,5,2,1,1,3,1,0,0,0,1,0,0,3,0,0,0,2,3,5,0,3.5
176010,N879eYkR2Wu,1,N,6.2,4,5,1,3,0,0,0,0,0,0,0,0,1,0,0,3,5,5,0,0
181224,N8ZPoEJbXB7,2,N,14.6,2,1,0,4,2,0,1,0,3,0,0,0,1,1,0.2,1,3,5,0,0
181238,N8ZPoEJbXB7,2,N,12,5,3,2,3,1,0,0,0,1,0,0,1,2,0,0,2,4,3,0,21.33
181451,N8ZPoEJbXB7,2,G,17.2,4,4,-1,3,0,0,0,0,1,0,0,0,2,0,0,2,5,5,0,0
181468,N8ZPoEJbXB7,2,G,23.6,4,4,4,4,0,0,0,0,0,0,0,1,1,0,0,0,5,5,0,46
181532,N8ZPoEJbXB7,2,N,9,3,5,1,4,0,0,0,0,0,0,0,0,1,0,0,1,5,3,0,14
181597,N8ZPoEJbXB7,2,N,13,5,4,5,2,0,0,0,0,0,0,0,1,3,0,0,0,5,3,0,7.67
